ROUTE,YEAR,MONTH,DAY_TYPE,AVG_RIDES
96,2024,11,Weekday,645
97,2024,11,Weekday,2225
97,2024,11,Saturday,1821
97,2024,11,Sunday - Holiday,1175
J14,2024,11,Weekday,7011
J14,2024,11,Saturday,4669
J14,2024,11,Sunday - Holiday,2497
X4,2024,11,Weekday,2789
X49,2024,11,Weekday,4841
X9,2024,11,Weekday,5269
0,2024,10,Weekday,3792
0,2024,10,Saturday,2954
0,2024,10,Sunday - Holiday,2064
1,2024,10,Weekday,1224
100,2024,10,Weekday,586
1001,2024,10,Weekday,642
1001,2024,10,Saturday,1084
1001,2024,10,Sunday - Holiday,3469
103,2024,10,Weekday,1644
103,2024,10,Saturday,812
103,2024,10,Sunday - Holiday,674
106,2024,10,Weekday,822
106,2024,10,Saturday,291
106,2024,10,Sunday - Holiday,155
108,2024,10,Weekday,652
11,2024,10,Weekday,1206
11,2024,10,Saturday,724
11,2024,10,Sunday - Holiday,508
111,2024,10,Weekday,2180
111,2024,10,Saturday,1260
111,2024,10,Sunday - Holiday,1048
111A,2024,10,Weekday,311
111A,2024,10,Saturday,281
111A,2024,10,Sunday - Holiday,201
112,2024,10,Weekday,1256
112,2024,10,Saturday,603
112,2024,10,Sunday - Holiday,394
115,2024,10,Weekday,2215
115,2024,10,Saturday,1301
115,2024,10,Sunday - Holiday,969
119,2024,10,Weekday,2764
119,2024,10,Saturday,2708
119,2024,10,Sunday - Holiday,1593
12,2024,10,Weekday,9335
12,2024,10,Saturday,6181
12,2024,10,Sunday - Holiday,4140
120,2024,10,Weekday,293
121,2024,10,Weekday,431
124,2024,10,Weekday,914
124,2024,10,Saturday,1306
124,2024,10,Sunday - Holiday,715
125,2024,10,Weekday,635
126,2024,10,Weekday,4146
126,2024,10,Saturday,2375
126,2024,10,Sunday - Holiday,1697
134,2024,10,Weekday,1833
135,2024,10,Weekday,1516
136,2024,10,Weekday,892
143,2024,10,Weekday,794
146,2024,10,Weekday,10642
146,2024,10,Saturday,9317
146,2024,10,Sunday - Holiday,6755
147,2024,10,Weekday,8772
147,2024,10,Saturday,7801
147,2024,10,Sunday - Holiday,5713
148,2024,10,Weekday,1520
15,2024,10,Weekday,4823
15,2024,10,Saturday,3999
15,2024,10,Sunday - Holiday,2567
151,2024,10,Weekday,10220
151,2024,10,Saturday,11091
151,2024,10,Sunday - Holiday,8573
152,2024,10,Weekday,8127
152,2024,10,Saturday,3860
152,2024,10,Sunday - Holiday,2724
155,2024,10,Weekday,5515
155,2024,10,Saturday,4584
155,2024,10,Sunday - Holiday,3527
156,2024,10,Weekday,4010
157,2024,10,Weekday,5881
165,2024,10,Weekday,195
169,2024,10,Weekday,134
169,2024,10,Saturday,13
171,2024,10,Weekday,792
171,2024,10,Saturday,224
172,2024,10,Weekday,1674
172,2024,10,Saturday,196
172,2024,10,Sunday - Holiday,398
18,2024,10,Weekday,3309
18,2024,10,Saturday,2288
18,2024,10,Sunday - Holiday,1372
19,2024,10,Weekday,62
192,2024,10,Weekday,533
2,2024,10,Weekday,1880
20,2024,10,Weekday,11981
20,2024,10,Saturday,8297
20,2024,10,Sunday - Holiday,5656
201,2024,10,Weekday,1378
201,2024,10,Saturday,662
206,2024,10,Weekday,451
21,2024,10,Weekday,7574
21,2024,10,Saturday,6080
21,2024,10,Sunday - Holiday,3973
22,2024,10,Weekday,12516
22,2024,10,Saturday,13522
22,2024,10,Sunday - Holiday,9554
24,2024,10,Weekday,2002
26,2024,10,Weekday,2739
28,2024,10,Weekday,3959
28,2024,10,Saturday,2167
28,2024,10,Sunday - Holiday,1541
29,2024,10,Weekday,8576
29,2024,10,Saturday,10026
29,2024,10,Sunday - Holiday,5862
3,2024,10,Weekday,15152
3,2024,10,Saturday,12049
3,2024,10,Sunday - Holiday,8366
30,2024,10,Weekday,2475
30,2024,10,Saturday,1510
30,2024,10,Sunday - Holiday,756
31,2024,10,Weekday,687
34,2024,10,Weekday,3349
34,2024,10,Saturday,2199
34,2024,10,Sunday - Holiday,1804
35,2024,10,Weekday,3704
35,2024,10,Saturday,2469
35,2024,10,Sunday - Holiday,1863
36,2024,10,Weekday,10979
36,2024,10,Saturday,11674
36,2024,10,Sunday - Holiday,8626
37,2024,10,Weekday,1324
39,2024,10,Weekday,1636
39,2024,10,Saturday,547
39,2024,10,Sunday - Holiday,446
